State Dimensions: 364
Action Dimensions: 2
Action Max: 0.2 m/s and 1 rad/s
---------------------- EPISODE 1 --------------------
waiting for service
reset called
[INFO] [1650672289.419011, 0.831000]: Goal position : 0.6, 0.0
0.6 0.0
[INFO] [1650672331.745375, 1.205000]: Goal position : -0.1, 0.9
-0.1 0.9
step: 201 | reward: -8.0 | done: False | action: 0.03331820294260979,0.9280595183372498
step: 202 | reward: -8.0 | done: False | action: 0.03038189932703972,0.8741291165351868
step: 203 | reward: 2.0000000000000018 | done: False | action: 0.013330945745110512,0.7769318222999573
step: 204 | reward: -8.0 | done: False | action: 0.012029122561216354,0.8250406980514526
step: 205 | reward: -8.0 | done: False | action: 0.027649477124214172,0.6705825924873352
step: 206 | reward: -8.0 | done: False | action: 0.01982739008963108,0.714610755443573
step: 207 | reward: -8.0 | done: False | action: 0.038891397416591644,0.6430956721305847
step: 208 | reward: 2.0000000000000018 | done: False | action: 0.04679575189948082,0.7667841911315918
step: 209 | reward: -8.0 | done: False | action: 0.041700419038534164,0.879112958908081
step: 210 | reward: 2.0000000000000018 | done: False | action: 0.039380595088005066,0.8229367136955261
step: 211 | reward: 2.0000000000000018 | done: False | action: 0.04034340754151344,0.975212812423706
step: 212 | reward: -8.0 | done: False | action: 0.04007105529308319,0.8602346777915955
step: 213 | reward: 2.0000000000000018 | done: False | action: 0.04288645088672638,0.8595214486122131
step: 214 | reward: -8.0 | done: False | action: 0.04209933429956436,0.6449059247970581
step: 215 | reward: 2.0000000000000018 | done: False | action: 0.035342130810022354,0.8467975854873657
step: 216 | reward: 2.0000000000000018 | done: False | action: 0.055709730833768845,0.9583510756492615
step: 217 | reward: -8.0 | done: False | action: 0.05521783232688904,0.81559818983078
step: 218 | reward: 2.0000000000000018 | done: False | action: 0.06987512856721878,0.8853093981742859
step: 219 | reward: -8.0 | done: False | action: 0.062376778572797775,0.9873853921890259
step: 220 | reward: -8.0 | done: False | action: 0.06603982299566269,0.9339098334312439
step: 221 | reward: -8.0 | done: False | action: 0.07086039334535599,0.898350715637207
step: 222 | reward: -8.0 | done: False | action: 0.06261125206947327,0.8141823410987854
step: 223 | reward: -8.0 | done: False | action: 0.04310457035899162,0.727849006652832
step: 224 | reward: -8.0 | done: False | action: 0.06192033737897873,0.5338108539581299
step: 225 | reward: -8.0 | done: False | action: 0.03873144090175629,0.5317321419715881
step: 226 | reward: -8.0 | done: False | action: 0.05572500824928284,0.48230117559432983
step: 227 | reward: -8.0 | done: False | action: 0.06419330090284348,0.5346185564994812
step: 228 | reward: -8.0 | done: False | action: 0.056504424661397934,0.5420743227005005
step: 229 | reward: -8.0 | done: False | action: 0.06794650107622147,0.7205739617347717
step: 230 | reward: -8.0 | done: False | action: 0.048507627099752426,0.6322336792945862
step: 231 | reward: -8.0 | done: False | action: 0.051466044038534164,0.6159709095954895
step: 232 | reward: -8.0 | done: False | action: 0.06673373281955719,0.569053590297699
